,Model Name,Accuracy_Test,Accuracy_Train,Precision_Test,Precision_Train,Recall_Test,Recall_Train,F1_Score_Test,F1_Score_Train
0,Normal,0.7746845541769016,0.822207253704708,0.777916408478927,0.8275625067820898,0.7746845541769016,0.822207253704708,0.772695546651054,0.8213119342590695
1,Random Oversampling,0.774390627952384,0.8604542993076238,0.7810395815461032,0.8630301771078482,0.774390627952384,0.8604542993076238,0.7764695480700691,0.8609739647561879
2,Random Undersampling,0.7646648191303983,0.8012451151223968,0.7739132184542782,0.8066656619449339,0.7646648191303983,0.8012451151223968,0.7670598564148466,0.8021765660578217
